gene	Gene.Ontology.IDs
LOC111129522	GO:0008519; GO:0016020; GO:0072488; GO:0097272
LOC111100662	GO:0005576; GO:0008061
LOC111105302	GO:0003924; GO:0005525; GO:0005794; GO:0006886; GO:0016192; GO:0110039
LOC111134776	GO:0005576
LOC111103288	GO:0016020
LOC111101405	GO:0005509; GO:0005737; GO:0005856; GO:0031514
LOC111101397	GO:0005509
LOC111129748	GO:0005615; GO:0010466; GO:0030414; GO:0061052
LOC111134153	GO:0000139; GO:0000287; GO:0003924; GO:0005525; GO:0005681; GO:0005789; GO:0005829; GO:0005886; GO:0007264; GO:0014069; GO:0019003; GO:0019901; GO:0030425; GO:0032006; GO:0032008; GO:0043025; GO:0045202; GO:0048709; GO:0048714; GO:0098978; GO:0099175; GO:0120163; GO:2000074
LOC111113132	GO:0000139; GO:0005783; GO:0005794; GO:0006486; GO:0006493; GO:0006629; GO:0008499; GO:0009312; GO:0009617; GO:0016020
LOC111136460	GO:0000139; GO:0001744; GO:0005795; GO:0006493; GO:0006688; GO:0007219; GO:0007293; GO:0007298; GO:0007299; GO:0008194; GO:0016020; GO:0016333; GO:0030707; GO:0042248; GO:0046981; GO:0047915
LOC111119489	GO:0000139; GO:0006486; GO:0006629; GO:0047275
LOC111106831	GO:0000086; GO:0004725; GO:0005634; GO:0005694; GO:0005737; GO:0006470; GO:0007030; GO:0007099; GO:0007346; GO:0007369; GO:0007488; GO:0008284; GO:0010971; GO:0045792; GO:0045931; GO:0045977; GO:0051301; GO:0110032
LOC111129837	GO:0003676; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0006508; GO:0015074; GO:0042575
LOC111112009	GO:0004930; GO:0005886; GO:0005929; GO:0007186; GO:0043005
LOC111123486	GO:0000139; GO:0005783; GO:0005794; GO:0006486; GO:0006493; GO:0006629; GO:0008499; GO:0009312; GO:0009617; GO:0016020
LOC111126076	GO:0004842; GO:0005164; GO:0005634; GO:0005811; GO:0005938; GO:0007250; GO:0008270; GO:0042981; GO:0043122; GO:0070534
LOC111126102	GO:0005524; GO:0005634; GO:0005737; GO:0006915; GO:0016567; GO:0061631
LOC111129935	GO:0000724; GO:0003678; GO:0005524; GO:0005634; GO:0005654; GO:0005694; GO:0005737; GO:0006268; GO:0006281; GO:0009378; GO:0016020; GO:0016887; GO:0043138; GO:1990814
LOC111111995	GO:0000045; GO:0000421; GO:0000422; GO:0005543; GO:0005737; GO:0005770; GO:0005776; GO:0005829; GO:0005874; GO:0006914; GO:0006995; GO:0008017; GO:0009267; GO:0010040; GO:0010288; GO:0016236; GO:0031090; GO:0031625; GO:0031667; GO:0034198; GO:0043278; GO:0044754; GO:0045202; GO:0070301; GO:0071280; GO:0097352; GO:0098978
LOC111111995	GO:0000045; GO:0000421; GO:0000422; GO:0005543; GO:0005776; GO:0005829; GO:0005874; GO:0006995; GO:0008017; GO:0012505; GO:0016236; GO:0031090; GO:0031410; GO:0031625
LOC111134929	GO:0001726; GO:0001889; GO:0003925; GO:0005525; GO:0005737; GO:0005768; GO:0005769; GO:0005794; GO:0005829; GO:0005886; GO:0005938; GO:0006886; GO:0007399; GO:0010975; GO:0016020; GO:0016192; GO:0019003; GO:0030036; GO:0030139; GO:0030154; GO:0030838; GO:0030866; GO:0031527; GO:0031901; GO:0031996; GO:0032154; GO:0032456; GO:0033028; GO:0034394; GO:0035020; GO:0036010; GO:0048488; GO:0050714; GO:0051489; GO:0051549; GO:0055037; GO:0055038; GO:0060998; GO:0090162; GO:0090543; GO:0097178; GO:0097284; GO:0098793; GO:0098794; GO:0098978; GO:0099562; GO:0120183; GO:1902217; GO:1903078; GO:1905606; GO:1990090; GO:2000009; GO:2000171
LOC111101827	GO:0004888; GO:0005262; GO:0005892; GO:0007165; GO:0007268; GO:0010996; GO:0022848; GO:0034220; GO:0042391; GO:0045202; GO:0045211; GO:0050877; GO:0051899
LOC111118727	
LOC111103139	GO:0005524; GO:0005694; GO:0005739; GO:0018117; GO:0046872; GO:0070733
LOC111125333	GO:0000226; GO:0005516; GO:0005737; GO:0005815; GO:0005874; GO:0007010; GO:0008017; GO:0022604; GO:0030507; GO:0031113; GO:0031175; GO:0051011
LOC111136966	GO:0003677; GO:0004386; GO:0005524; GO:0005634; GO:0007131; GO:0008094; GO:0015616; GO:0016787; GO:0045003; GO:0140658
LOC111115748	GO:0005198; GO:0005819; GO:0005886; GO:0005905; GO:0006886; GO:0007049; GO:0030118; GO:0030125; GO:0030130; GO:0030132; GO:0030136; GO:0030672; GO:0031410; GO:0032050; GO:0042277; GO:0044877; GO:0048268; GO:0051020; GO:0051301; GO:0071439; GO:0072583; GO:0098835; GO:0098843; GO:0098978; GO:0099631
LOC111112068	GO:0000226; GO:0005737; GO:0005856; GO:0007021; GO:0007023; GO:0043014
LOC111106561	GO:0000398; GO:0005634; GO:0005654; GO:0005689; GO:0005829; GO:0045171
LOC111109865	GO:0003676; GO:0003899; GO:0005654; GO:0005666; GO:0005730; GO:0005829; GO:0006383; GO:0006386; GO:0008270; GO:0042779; GO:0045087; GO:0051607
LOC111130195	GO:0000785; GO:0000976; GO:0005634; GO:0005654; GO:0006311; GO:0007127; GO:0007129; GO:0007283; GO:0007292; GO:0010844; GO:0010845; GO:0016571; GO:0042800; GO:0042803; GO:0043066; GO:0043565; GO:0045944; GO:0046872; GO:0046975; GO:0048232; GO:0060903; GO:0140941; GO:0140944; GO:0140949; GO:0140955; GO:0140999; GO:1905516; GO:1990918
LOC111132898	GO:0004842; GO:0005634; GO:0005737; GO:0005829; GO:0006511; GO:0008270; GO:0016567; GO:0031624; GO:0043161; GO:0051402; GO:0061630
LOC111101169	GO:0004842; GO:0005634; GO:0005737; GO:0005769; GO:0005829; GO:0005886; GO:0006511; GO:0007141; GO:0007283; GO:0008270; GO:0009791; GO:0016567; GO:0019005; GO:0030154; GO:0030163; GO:0030877; GO:0031624; GO:0031648; GO:0040014; GO:0042802; GO:0042803; GO:0043065; GO:0043161; GO:0051402; GO:0060070; GO:0061630; GO:0097718; GO:2001244
LOC111104454	GO:0003676; GO:0003899; GO:0005654; GO:0005666; GO:0005730; GO:0005829; GO:0006383; GO:0006386; GO:0008270; GO:0042779; GO:0045087; GO:0051607
LOC111102578	GO:0000398; GO:0005634; GO:0005654; GO:0005689; GO:0005829; GO:0045171
LOC111108648	GO:0000226; GO:0005737; GO:0005856; GO:0007021; GO:0007023; GO:0043014
LOC111135567	GO:0005198; GO:0005819; GO:0005886; GO:0005905; GO:0006886; GO:0007049; GO:0030118; GO:0030125; GO:0030130; GO:0030132; GO:0030136; GO:0030672; GO:0031410; GO:0032050; GO:0042277; GO:0044877; GO:0048268; GO:0051020; GO:0051301; GO:0071439; GO:0072583; GO:0098835; GO:0098843; GO:0098978; GO:0099631
LOC111117581	GO:0003677; GO:0004386; GO:0005524; GO:0005634; GO:0007131; GO:0008094; GO:0015616; GO:0016787; GO:0045003; GO:0140658
LOC111114641	GO:0005509; GO:0005576
LOC111127966	GO:0000226; GO:0005516; GO:0005737; GO:0005815; GO:0005874; GO:0007010; GO:0008017; GO:0022604; GO:0030507; GO:0031113; GO:0031175; GO:0051011
LOC111135129	GO:0005524; GO:0005694; GO:0005739; GO:0018117; GO:0046872; GO:0070733
LOC111118316	
LOC111109243	GO:0004888; GO:0005262; GO:0005892; GO:0007165; GO:0007268; GO:0010996; GO:0022848; GO:0034220; GO:0042391; GO:0045202; GO:0045211; GO:0050877; GO:0051899
LOC111134171	GO:0001726; GO:0001889; GO:0003925; GO:0005525; GO:0005737; GO:0005768; GO:0005769; GO:0005794; GO:0005829; GO:0005886; GO:0005938; GO:0006886; GO:0007399; GO:0010975; GO:0016020; GO:0016192; GO:0019003; GO:0030036; GO:0030139; GO:0030154; GO:0030838; GO:0030866; GO:0031527; GO:0031901; GO:0031996; GO:0032154; GO:0032456; GO:0033028; GO:0034394; GO:0035020; GO:0036010; GO:0048488; GO:0050714; GO:0051489; GO:0051549; GO:0055037; GO:0055038; GO:0060998; GO:0090162; GO:0090543; GO:0097178; GO:0097284; GO:0098793; GO:0098794; GO:0098978; GO:0099562; GO:0120183; GO:1902217; GO:1903078; GO:1905606; GO:1990090; GO:2000009; GO:2000171
LOC111111295	GO:0000045; GO:0000421; GO:0000422; GO:0005543; GO:0005737; GO:0005770; GO:0005776; GO:0005829; GO:0005874; GO:0006914; GO:0006995; GO:0008017; GO:0009267; GO:0010040; GO:0010288; GO:0016236; GO:0031090; GO:0031625; GO:0031667; GO:0034198; GO:0043278; GO:0044754; GO:0045202; GO:0070301; GO:0071280; GO:0097352; GO:0098978
LOC111130258	GO:0000724; GO:0003678; GO:0005524; GO:0005654; GO:0005694; GO:0005737; GO:0006268; GO:0009378; GO:0016887; GO:0043138; GO:1990814
LOC111124761	GO:0005524; GO:0005634; GO:0005737; GO:0006915; GO:0016567; GO:0061631
LOC111124729	GO:0004842; GO:0005164; GO:0005634; GO:0005811; GO:0005938; GO:0007250; GO:0008270; GO:0042981; GO:0043122; GO:0070534
LOC111130260	GO:0001501; GO:0001527; GO:0001656; GO:0005178; GO:0005179; GO:0005201; GO:0005509; GO:0005576; GO:0005604; GO:0005615; GO:0005788; GO:0006006; GO:0007507; GO:0008201; GO:0010737; GO:0030023; GO:0031012; GO:0032100; GO:0033627; GO:0034199; GO:0035582; GO:0035583; GO:0042593; GO:0042802; GO:0043010; GO:0044877; GO:0045671; GO:0048048; GO:0048050; GO:0062023; GO:0071560; GO:1990314; GO:2001205
LOC111121476	GO:0005509; GO:0007160; GO:0016020
LOC111121500	GO:0001527; GO:0001890; GO:0005179; GO:0005201; GO:0005509; GO:0005576; GO:0005615; GO:0030023; GO:0030326; GO:0030501; GO:0035583; GO:0042593; GO:0043010; GO:0045669; GO:0048048; GO:0060346; GO:0062023; GO:1901163
LOC111130637	GO:0005509; GO:0007160; GO:0016020
LOC111130647	GO:0005509; GO:0007160; GO:0016020
LOC111130653	GO:0005509; GO:0007160; GO:0016020
LOC111130687	GO:0005509; GO:0007160; GO:0016020
LOC111130696	GO:0001527; GO:0001890; GO:0005179; GO:0005201; GO:0005509; GO:0005576; GO:0005615; GO:0030326; GO:0030501; GO:0035108; GO:0035583; GO:0042593; GO:0043010; GO:0045669; GO:0048048; GO:0060346; GO:0062023; GO:1901163
LOC111121491	GO:0001527; GO:0001890; GO:0005179; GO:0005201; GO:0005509; GO:0005576; GO:0005615; GO:0030023; GO:0030326; GO:0030501; GO:0035583; GO:0042593; GO:0043010; GO:0045669; GO:0048048; GO:0060346; GO:0062023; GO:1901163
LOC111111234	GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0005634; GO:0005737; GO:0006310; GO:0006508; GO:0015074; GO:0046872
LOC111103358	GO:0005509; GO:0007160; GO:0016020
LOC111103323	GO:0005509; GO:0007160; GO:0016020
LOC111103371	GO:0005509; GO:0005615; GO:0009374; GO:0031410; GO:0032579
LOC111103390	GO:0005739; GO:0005743; GO:0008517; GO:0015230; GO:1904947; GO:1990548
LOC111103401	GO:0005509
LOC111103364	GO:0005542; GO:0005768; GO:0005886; GO:0010008; GO:0015293; GO:0015350; GO:0016323; GO:0016324; GO:0022857; GO:0055085
LOC111103418	GO:0000139; GO:0005783; GO:0005829; GO:0006888; GO:0015031; GO:0016020; GO:0042147
LOC111114348	GO:0005739; GO:0005743; GO:0008517; GO:0015230; GO:1904947; GO:1990548
LOC111113021	GO:0005509
LOC111099041	GO:0005542; GO:0005768; GO:0005886; GO:0010008; GO:0015293; GO:0015350; GO:0016323; GO:0016324; GO:0022857; GO:0055085
LOC111099044	GO:0000977; GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0007463; GO:0007601; GO:0042067; GO:0045944; GO:0048054; GO:0050896
LOC111106990	GO:0000139; GO:0005783; GO:0005829; GO:0006888; GO:0015031; GO:0016020; GO:0042147
LOC111127424	GO:0046872
LOC111127416	GO:0005737; GO:0005783; GO:0005829; GO:0006897; GO:0010507; GO:0010922; GO:0019903; GO:0030234; GO:0032587; GO:0032991; GO:0048471; GO:0050821; GO:0060304
LOC111137796	GO:0003677; GO:0003723; GO:0003729; GO:0005634; GO:0014902; GO:0030182
LOC111137367	
LOC111105370	GO:0005739; GO:0043231; GO:0045111
LOC111105035	GO:0000281; GO:0005200; GO:0005634; GO:0005737; GO:0005764; GO:0005856; GO:0005886; GO:0006357; GO:0007009; GO:0007165; GO:0007409; GO:0007411; GO:0007528; GO:0008089; GO:0008092; GO:0009925; GO:0009986; GO:0010628; GO:0010650; GO:0010765; GO:0010960; GO:0014704; GO:0014731; GO:0016020; GO:0016323; GO:0016328; GO:0016529; GO:0019228; GO:0030018; GO:0030315; GO:0030424; GO:0030425; GO:0030507; GO:0030674; GO:0030951; GO:0031594; GO:0032507; GO:0033268; GO:0033270; GO:0034112; GO:0035902; GO:0042383; GO:0043001; GO:0043005; GO:0043034; GO:0043194; GO:0043266; GO:0044325; GO:0045162; GO:0045184; GO:0045202; GO:0045211; GO:0045296; GO:0045806; GO:0045838; GO:0050808; GO:0061564; GO:0061629; GO:0071286; GO:0071709; GO:0072659; GO:0072660; GO:0090314; GO:0099612; GO:0140031; GO:1900827; GO:1901224; GO:1902260; GO:1903533; GO:1904115; GO:2000651; GO:2001259
LOC111105035	GO:0000281; GO:0005200; GO:0005737; GO:0005764; GO:0005886; GO:0005923; GO:0007009; GO:0007165; GO:0007409; GO:0007411; GO:0007528; GO:0008089; GO:0008092; GO:0009925; GO:0009986; GO:0010628; GO:0010650; GO:0010765; GO:0010960; GO:0014069; GO:0014704; GO:0014731; GO:0016020; GO:0016323; GO:0016328; GO:0016529; GO:0019228; GO:0030018; GO:0030315; GO:0030424; GO:0030425; GO:0030507; GO:0030674; GO:0030951; GO:0031594; GO:0032507; GO:0033268; GO:0033270; GO:0034112; GO:0042383; GO:0043001; GO:0043005; GO:0043034; GO:0043194; GO:0043266; GO:0044325; GO:0045162; GO:0045184; GO:0045202; GO:0045211; GO:0045296; GO:0045760; GO:0045806; GO:0045838; GO:0050808; GO:0061564; GO:0071286; GO:0071709; GO:0072659; GO:0072660; GO:0090314; GO:0099612; GO:0140031; GO:1900827; GO:1901224; GO:1902260; GO:1903533; GO:1904115; GO:2000651; GO:2001259
LOC111131375	GO:0000398; GO:0001527; GO:0005634; GO:0005654; GO:0005684; GO:0005813; GO:0071005
LOC111121096	GO:0005634
LOC111119818	GO:0000009; GO:0000030; GO:0004376; GO:0005789; GO:0006506; GO:0031501
